Section,Function,URL
Audio API,AvRevertMmThreadCharacteristics,https://learn.microsoft.com/en-us/windows/win32/api/avrt/nf-avrt-avrevertmmthreadcharacteristics
Audio API,AvSetMmThreadCharacteristics,https://learn.microsoft.com/en-us/windows/win32/api/avrt/nf-avrt-avsetmmthreadcharacteristicsa
Audio API,XXXIAudioCaptureClient,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nn-audioclient-iaudiocaptureclient
Audio API,IAudioCaptureClient::GetBuffer,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudiocaptureclient-getbuffer
Audio API,IAudioCaptureClient::ReleaseBuffer,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudiocaptureclient-releasebuffer
Audio API,IAudioClient::GetBufferSize,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-getbuffersize
Audio API,IAudioClient::GetDevicePeriod,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-getdeviceperiod
Audio API,IAudioClient::GetMixFormat,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-getmixformat
Audio API,IAudioClient::GetService,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-getservice
Audio API,IAudioClient::Initialize,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-initialize
Audio API,IAudioClient::IsFormatSupported,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-isformatsupported
Audio API,IAudioClient::Reset,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-reset
Audio API,IAudioClient::SetEventHandle,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-seteventhandle
Audio API,IAudioClient::Start,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-start
Audio API,IAudioClient::Stop,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nf-audioclient-iaudioclient-stop
Audio API,IMMDevice::Activate,https://learn.microsoft.com/en-us/windows/win32/api/mmdeviceapi/nf-mmdeviceapi-immdevice-activate
Audio API,IMMDevice::GetId,https://learn.microsoft.com/en-us/windows/win32/api/mmdeviceapi/nf-mmdeviceapi-immdevice-getid
Audio API,IMMDevice::GetState,https://learn.microsoft.com/en-us/windows/win32/api/mmdeviceapi/nf-mmdeviceapi-immdevice-getstate
Audio API,IMMDevice::OpenPropertyStore,https://learn.microsoft.com/en-us/windows/win32/api/mmdeviceapi/nf-mmdeviceapi-immdevice-openpropertystore
Audio API,IMMDeviceEnumerator::GetDefaultAudioEndpoint,https://learn.microsoft.com/en-us/windows/win32/api/mmdeviceapi/nf-mmdeviceapi-immdeviceenumerator-getdefaultaudioendpoint
Audio API,IPropertyStore::GetValue,https://learn.microsoft.com/en-us/previous-versions/windows/desktop/legacy/bb761473(v=vs.85)
Audio API,PropVariantInit,https://learn.microsoft.com/en-us/windows/win32/api/propidl/nf-propidl-propvariantinit
Audio API,WAVEFORMATEX,https://learn.microsoft.com/en-us/windows/win32/api/mmeapi/ns-mmeapi-waveformatex
Audio API,WAVEFORMATEXTENSIBLE,https://learn.microsoft.com/en-us/windows/win32/api/mmreg/ns-mmreg-waveformatextensible
Audio API,XXXIAudioClient,https://learn.microsoft.com/en-us/windows/win32/api/audioclient/nn-audioclient-iaudioclient
Audio API,XXXIMMDevice,https://learn.microsoft.com/en-us/windows/win32/api/mmdeviceapi/nn-mmdeviceapi-immdevice
Audio API,XXXIPropertyStore,https://learn.microsoft.com/en-us/windows/win32/api/propsys/nn-propsys-ipropertystore
COM API,CoCreateInstance,https://learn.microsoft.com/en-us/windows/win32/api/combaseapi/nf-combaseapi-cocreateinstance
COM API,CoInitializeEx,https://learn.microsoft.com/en-us/windows/win32/api/combaseapi/nf-combaseapi-coinitializeex
COM API,CoTaskMemFree,https://learn.microsoft.com/en-us/windows/win32/api/combaseapi/nf-combaseapi-cotaskmemfree
COM API,CoUninitialize,https://learn.microsoft.com/en-us/windows/win32/api/combaseapi/nf-combaseapi-couninitialize
COM API,IUnknown::Release,https://learn.microsoft.com/en-us/windows/win32/api/unknwn/nf-unknwn-iunknown-release
COM API,PropVariantClear,https://learn.microsoft.com/en-us/windows/win32/api/combaseapi/nf-combaseapi-propvariantclear
CRT & Memory Management API,_CrtCheckMemory,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/crtcheckmemory
CRT & Memory Management API,_free_dbg,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/free-dbg
CRT & Memory Management API,_malloc_dbg,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/malloc-dbg
CRT & Memory Management API,CopyMemory,https://learn.microsoft.com/en-us/previous-versions/windows/desktop/legacy/aa366535(v=vs.85)
CRT & Memory Management API,rand,https://learn.microsoft.com/en-us/cpp/c-runtime-library/reference/rand?view=msvc-170
CRT & Memory Management API,SecureZeroMemory,https://learn.microsoft.com/en-us/previous-versions/windows/desktop/legacy/aa366877(v=vs.85)
CRT & Memory Management API,StringCbCopyExW,https://learn.microsoft.com/en-us/windows/win32/api/strsafe/nf-strsafe-stringcbcopyexw
CRT & Memory Management API,StringCbPrintfW,https://learn.microsoft.com/en-us/windows/win32/api/strsafe/nf-strsafe-stringcbprintfw
CRT & Memory Management API,StringCchCopyW,https://learn.microsoft.com/en-us/windows/win32/api/strsafe/nf-strsafe-stringcchcopyw
CRT & Memory Management API,StringCchPrintfW,https://learn.microsoft.com/en-us/windows/win32/api/strsafe/nf-strsafe-stringcchprintfw
CRT & Memory Management API,ZeroMemory,https://learn.microsoft.com/en-us/previous-versions/windows/desktop/legacy/aa366920(v=vs.85)
